model,turn,u,r,rho,p,q,n,sig,scope
Qwen,2,U2,RT,0.043556972792469145,0.7163828496383976,0.895478562047997,72,False,per_turn
Qwen,2,U2,TN,0.0946845603757615,0.4288601167492295,0.7658216370521956,72,False,per_turn
Qwen,2,U2,QOC,-0.16838034882961495,0.15740107128732408,0.3935026782183102,72,False,per_turn
Qwen,2,U2,LM,0.2587329784027145,0.028198492106941912,0.16009570839245182,72,False,per_turn
Qwen,2,U2,ME,,,1.0,72,False,per_turn
Qwen,2,U2,EMP,0.06135666907232379,0.6086512497262033,0.895478562047997,72,False,per_turn
Qwen,2,U3,SEN,0.7790174143548603,7.785846564846487e-16,3.8929232824232435e-14,72,True,per_turn
Qwen,2,U3,AUR,0.1635251598425915,0.16989804106344683,0.4045191453891591,72,False,per_turn
Qwen,2,U3,TD,-0.1424926116857528,0.23246497036603642,0.5062547918111123,72,False,per_turn
Qwen,2,U3,FIX,0.12837454659345465,0.2825161974185998,0.5885754112887496,72,False,per_turn
Qwen,2,U3,RT,0.084050000483748,0.48271058673303713,0.8322596322983399,72,False,per_turn
Qwen,2,U3,TN,0.19655340688535966,0.09796361046150798,0.30613628269221244,72,False,per_turn
Qwen,2,U3,QOC,0.03744346145514119,0.7548373912134598,0.9205334039188534,72,False,per_turn
Qwen,2,U3,LM,0.24549512651549144,0.03765761613774441,0.18828808068872205,72,False,per_turn
Qwen,2,U3,ME,,,1.0,72,False,per_turn
Qwen,2,U3,EMP,0.3262315762317393,0.00516318523338216,0.043026543611517996,72,True,per_turn
Qwen,2,U4,SEN,-0.07959171834405435,0.5063102743022203,0.8438504571703672,72,False,per_turn
Qwen,2,U4,AUR,-0.046295407762119566,0.6993769653958775,0.895478562047997,72,False,per_turn
Qwen,2,U4,TD,0.4127185285777627,0.000314855611820345,0.0052475935303390835,72,True,per_turn
Qwen,2,U4,FIX,0.18413426236692243,0.12153607657988459,0.33760021272190166,72,False,per_turn
Qwen,2,U4,RT,0.18484420257608306,0.12008119221498806,0.33760021272190166,72,False,per_turn
Qwen,2,U4,TN,0.02696690494862323,0.8220898014212846,0.9786783350253389,72,False,per_turn
Qwen,2,U4,QOC,0.22946162366957348,0.0525102917248446,0.21879288218685253,72,False,per_turn
Qwen,2,U4,LM,0.0,1.0,1.0,72,False,per_turn
Qwen,2,U4,ME,,,1.0,72,False,per_turn
Qwen,2,U4,EMP,0.045738718396248365,0.7028224432274353,0.895478562047997,72,False,per_turn
